#
# $Id$
#
# -----------------------------------------------------------------------------------------------------							
#							
# This first section includes a set of "custom" QTs							
# which are commonly used but not defined elsewhere.							
#							
# Name	DataType	Scale	MAGE Subclass	isBackground	ConfidenceIndicator target QT	Channel	Description
>>>Tab2MAGE_FGEM[ebi.ac.uk]							
Ratio of medians % SDev	float	linear_scale	SpecializedQuantitationType				Standard deviation of Ratio of medians in percent.
Ratio-Cy5/Cy3	float	linear_scale	SpecializedQuantitationType				Direct ratio ( = Cy5_Vol-BG / Cy3_Vol-BG )
Regulation	string_datatype	unscaled	SpecializedQuantitationType				If Flag = SNR1 then Regulation=>Down; if Flag = SNR2 then Regulation=>up; if Flag = SNR1 AND SNR2 then Regulation=>weak; else Regulation = Ratio-Cy5/Cy3.
Rep_vol_BG2	float	linear_scale	SpecializedQuantitationType				Average of background reduced volume for onchip replicas (when calculated).
Replicas	float	linear_scale	SpecializedQuantitationType				
SNR*GS	float	linear_scale	SpecializedQuantitationType				Number of saturated pixel in both colors (logical or).
SNR-tot	float	linear_scale	SpecializedQuantitationType				Squared average of Cy5_SNR and Cy3_SNR.
SNR-tot_Score	float	linear_scale	SpecializedQuantitationType				Squared average of Cy5_%SNR and Cy3_%SNR.
Tot_Sat-pixel	float	linear_scale	SpecializedQuantitationType				Number of saturated pixel in color channel Cy5 OR color channel Cy3.
>>>CodeLink[Motorola Life Sciences]							
Cy3 BG Mean	float	linear_scale	MeasuredSignal	1		Cy3	Background mean in Cy3 channel.
Cy3 BG Median	integer	linear_scale	SpecializedQuantitationType	1		Cy3	Background median in Cy3 channel.
Cy3 Mean	float	linear_scale	SpecializedQuantitationType			Cy3	Statistical mean (average) of the raw intensity signal (i.e. mean of all the pixels belonging to the feature region) in Cy3 channel.
Cy3 Raw Intensity	float	linear_scale	MeasuredSignal			Cy3	The signal from the spot minus the median background in Cy3 channel.
Cy5 BG Mean	float	linear_scale	MeasuredSignal	1		Cy5	Background mean in Cy5 channel.
Cy5 BG Median	integer	linear_scale	SpecializedQuantitationType	1		Cy5	Background median in Cy5 channel.
Cy5 Mean	float	linear_scale	SpecializedQuantitationType			Cy5	Statistical mean (average) of the raw intensity signal (i.e. mean of all the pixels belonging to the feature region) in Cy5 channel.
Cy5 Raw Intensity	float	linear_scale	MeasuredSignal			Cy5	The signal from the spot minus the median background in Cy5 channel.
Flag	boolean	unscaled	SpecializedQuantitationType				Flag indicates if the spot matched with quality measures (i.e shape, low signal, saturated). TRUE corresponds to features that have to be discarded according to the quality measures, while FALSE is the opposite.
>>>Spot[CSIRO]							
# These first are just feature coordinate/index columns, and should be discarded.							
#indexs							The index of the spot.
#grid_r							The row index of the grid.
#grid_c							The column index of the grid.
#spot_r							The row index of the spot within the its grid.
#spot_c							The column index of the spot within the its grid.
area	integer	linear_scale	SpecializedQuantitationType				The number of pixels in the segmented spot.
Gmean	float	linear_scale	SpecializedQuantitationType	0		Cy3	The average pixel value within the spot: green band.
Gmedian	float	linear_scale	MeasuredSignal	0		Cy3	The median pixel value within the spot: green band.
GIQR	float			0		Cy3	The interquartile range of the logged pixel values within the spot: green band.
Rmean	float	linear_scale	SpecializedQuantitationType	0		Cy5	The average pixel value within the spot: red band.
Rmedian	float	linear_scale	MeasuredSignal	0		Cy5	The median pixel value within the spot: red band.
RIQR	float			0		Cy5	The interquartile range of the logged pixel values within the spot: red band.
bg.Gmean	float	linear_scale	SpecializedQuantitationType	1		Cy3	The average pixel value in the background region: green band.
bg.Gmedian	float	linear_scale	MeasuredSignal	1		Cy3	The median pixel value in the background region: green band.
bg.Gsd	float			1		Cy3	
bg.GIQR	float			1		Cy3	The interquartile range of the logged pixel values in the background region: green band.
bg.Rmean	float	linear_scale	SpecializedQuantitationType	1		Cy5	The average pixel value in the background region: red band.
bg.Rmedian	float	linear_scale	MeasuredSignal	1		Cy5	The median pixel value in the background region: red band.
bg.Rsd	float			1		Cy5	
bg.RIQR	float			1		Cy5	The interquartile range of the logged pixel values in the background region: red band.
valleyG			SpecializedQuantitationType			Cy3	Median of median image values in four neighbouring "valley" regions: green band. "Valley" regions are square regions between spots.
valleyR			SpecializedQuantitationType			Cy5	Median of median image values in four neighbouring "valley" regions: red band.
morphG	integer	linear_scale	SpecializedQuantitationType			Cy3	Value of a morphological opening of the green band image at the nominal spot centre. Openings and erosions (see below) use a rectangular structuring element with side lengths equal to twice the average horizontal and vertical distances between spots.
morphG.erode			SpecializedQuantitationType			Cy3	Value of a morphological erosion of the green band image at the nominal spot centre.
morphG.close.open	integer	linear_scale	SpecializedQuantitationType			Cy3	Value of a morphological closing followed by a morphological opening of the green band image at the nominal spot centre.
morphR 	integer	linear_scale	SpecializedQuantitationType			Cy5	Value of a morphological opening of the red band image at the nominal spot centre.
morphR.erode			SpecializedQuantitationType			Cy5	Value of a morphological erosion of the red band image at the nominal spot centre.
morphR.close.open	integer	linear_scale	SpecializedQuantitationType			Cy5	Value of a morphological closing followed by a morphological opening of the red band image at the nominal spot centre.
logratios	float	log_base_2	Ratio	0			The base-2 log of the background-adjusted ratio, R/G, using R/Gmedian for spot value and morphR/G for background.
perimeter	integer	linear_scale	SpecializedQuantitationType				The perimeter of the spot as measured by the number of pixels in the spot which have a neighbouring pixel outside the spot. Each pixel is considered to have 8 neighbours in this process.
circularity			SpecializedQuantitationType				A measure of circularity of the spot equal to area times four pi divided by perimeter squared. This is ideally one for circles and more than one for other shapes.
badspot			SpecializedQuantitationType				A flag which is one if the spot area is greater than the product of the horizontal and vertical average spot separations, and zero otherwise.
>>>CodeLink Expression Analysis[GE Healthcare]							
Raw_intensity	float	linear_scale	SpecializedQuantitationType	0			Spot density, which is the difference between the spot mean and the local background median.
Normalized_intensity	float	linear_scale	DerivedSignal	0			Normalized intensity value (the raw intensity divided by the normalization factor).
Quality_flag	string_datatype	unscaled	SpecializedQuantitationType	0			Metrics the software uses to indicate the quality of a spot.
Signal_strength	float	linear_scale	Ratio	0			Estimated signal above its local background noise level. The ratio is expressed as the spot mean divided by the local background standard deviation.
Spot_mean	float	linear_scale	MeasuredSignal	0			Sum of all pixel values in the spot area divided by the number of pixels.
Spot_median	integer	linear_scale	SpecializedQuantitationType	0			Median pixel intensity computed over the spot area.
Spot_stdev	float	linear_scale	Error	0	Spot_mean		Standard deviation of the pixel intensity in the spot.
Spot_area	integer	linear_scale	SpecializedQuantitationType	0			Number of pixels in the spot.
Spot_diameter	float	linear_scale	SpecializedQuantitationType	0			Spot diameter (in pixels) that the software calculates during data extraction.
Spot_noise_level	float	linear_scale	SpecializedQuantitationType	1			Local background noise level, given by the median signal of the pixels within the baackground ring.
Bkgd_mean	float	linear_scale	MeasuredSignal	1			Estimate of the background mean that the software computes, using the pixel intensities in the background area surrounding the spot.
Bkgd_median	integer	linear_scale	SpecializedQuantitationType	1			Estimate of the background median the software computes, using the pixel intensities inside the background area surrounding the spot.
Bkgd_stdev	float	linear_scale	Error	1	Bkgd_mean		Estimate of the background standard deviation that the software computes, using the pixel intensities inside the background area surrounding the spot.
Bkgd_area	float	linear_scale	SpecializedQuantitationType	1			Number of pixels that the software includes to compute the estimated local background mean, median, and standard deviation.
>>>Feature Extraction Software[Agilent Technologies]							
BGPixCorrelation	float	linear_scale	SpecializedQuantitationType				Ratio of estimated feature covariance in RedGreen space to product of feature Standard Deviation in Red Green space. The covariance of two features measures their tendency to vary together, i.e. to co-vary. In this case, it is a cumulative quantitation of
BGSubSigCorrelation	float	linear_scale	SpecializedQuantitationType				Ratio of estimated background subtracted feature signal covariance in RG space to product of background subtracted feature Standard Deviation in RG space.
DyeNormCorrelation	float	linear_scale	SpecializedQuantitationType				Dye normalized red and green pixel correlation.
ErrorModel	integer	linear_scale	SpecializedQuantitationType				ErrorModel Indicates the error model that the user chose for feature extraction. A 0 indicates use of the Propogated Error Model. A 1 indicates use of the Universal Error Model.
Failed	boolean	linear_scale	Failed				Set to one if the quantitation values of a feature are considered bad enough to thrown out in the higher level analysis. Features are thrown out if both channels are saturated or if either channel is a non-uniform outlier. A feature can be failed from out
Green.BGPixSDev	float	linear_scale	Error		Green.Background	Cy3	
Green.Background	float	linear_scale	MeasuredSignal	1		Cy3	
Green.DerivedSignal	float	linear_scale	DerivedSignal			Cy3	
Green.DyeNormSignal	float	linear_scale	SpecializedQuantitationType			Cy3	
Green.MeasuredSignal	float	linear_scale	MeasuredSignal			Cy3	
Green.PixSDev	float	linear_scale	Error		Green.MeasuredSignal	Cy3	
Green.ProcessedSigError	float	linear_scale	Error		Green.DerivedSignal	Cy3	
HighEndCorrDNCorrelation	float	linear_scale	SpecializedQuantitationType				
HighEndDyeNormApplied	boolean	linear_scale	SpecializedQuantitationType				Has a value of 0 or 1.
IsManualFlag	boolean	linear_scale	SpecializedQuantitationType				If a feature has been moved manually this flag will be set to 1.
IsNormalization	boolean	linear_scale	SpecializedQuantitationType				A boolean flag which indicates if a feature is used to measure dye bias. A 1 incidates the value was used.
IsUsedBGAdjust	float	linear_scale	SpecializedQuantitationType				A boolean used to flag features used for computation of global BG offset. A 1 indicates the feature was used.
LogRatio	float	log_base_10	Ratio				log(REDsignal/GREENsignal) per feature. Signals in both channels are post dye normalization If SURROGATES are disabled, then this value will be set to: -2 if DyeNormRedSig &lt;= 0.0 &amp;DyeNormGreenSig > 0.0; 2 if DyeNormRedSig > 0.0 &amp; DyeNormGreenSi
LogRatioError	float	log_base_10	Error		LogRatio		LogRatioError = error of the log ratio calculated according to the error model chosen. If SURROGATES are disabled, then this value will be set to if DyeNormRedSig &lt;= 0.0 OR DyeNormGreenSig &lt;= 0.0
PValueLogRatio	float	percent	PValue		LogRatio		Significance level of the Log Ratio computed for a feature
PixCorrelation	float	linear_scale	SpecializedQuantitationType				Ratio of estimated feature covariance in RedGreen space to product of feature Standard Deviation in Red Green space. The covariance of two features measures their tendency to vary together, i.e. to co-vary. In this case, it is a cumulative quantitation of
PositionX	float	linear_scale	SpecializedQuantitationType				Found X coordinate of the feature centroid currently reported in pixels.
PositionY	float	linear_scale	SpecializedQuantitationType				Found Y coordinate of the feature centroid currently reported in pixels.
Red.BGPixSDev	float	linear_scale	Error		Red.Background	Cy5	
Red.Background	float	linear_scale	MeasuredSignal	1		Cy5	
Red.DerivedSignal	float	linear_scale	DerivedSignal			Cy5	
Red.DyeNormSignal	float	linear_scale	SpecializedQuantitationType			Cy5	
Red.MeasuredSignal	float	linear_scale	MeasuredSignal			Cy5	
Red.PixSDev	float	linear_scale	Error		Red.MeasuredSignal	Cy5	
Red.ProcessedSigError	float	linear_scale	Error		Red.DerivedSignal	Cy5	
SpotExtentX	float	linear_scale	SpecializedQuantitationType				The size of a spot in X in microns.
SpotExtentY	float	linear_scale	SpecializedQuantitationType				The size of a spot in Y in microns.
gBGMeanSignal	float	linear_scale	MeasuredSignal	1		Cy3	Mean local background signal (local to corresponding feature) computed per channel.
gBGMedianSignal	float	linear_scale	SpecializedQuantitationType	1		Cy3	Median local background signal (local to corresponding feature) computed per channel.
gBGNumPix	integer	linear_scale	SpecializedQuantitationType	1		Cy3	Total number of pixels used to compute Local BG statistics per spot; ie. Total number of BG inlier pixels. This number is computed independently in each channel.
gBGPixSDev	float	linear_scale	Error	1	gBGMeanSignal	Cy3	Standard deviation of all inlier pixels per Local BG of each feature, computed independently in each channel.
gBGSDUsed	float	linear_scale	Error	1	gBGUsed	Cy3	Standard deviation of background used in green channel.
gBGSubSigError	float	linear_scale	Error		gBGSubSignal	Cy3	Propagated standard error as computed on net green background subtracted signal.
gBGSubSignal	float	linear_scale	SpecializedQuantitationType			Cy3	The net green signal following the subtraction of the background from the raw mean green signal.
gBGUsed	float	linear_scale	SpecializedQuantitationType	1		Cy3	Background value subtracted from the raw mean signal to generate the BG subtracted signal; this value is computed per channel. If global BG subtraction is used the column is identical for every feature in a given channel.
gBackground	float	linear_scale	MeasuredSignal	1		Cy3	Mean local background signal (local to corresponding feature) computed per channel.
gDerivedSignal	float	linear_scale	DerivedSignal			Cy3	The propagated feature signal, per channel, used for computation of log ratio.
gDyeNormError	float	linear_scale	Error		gDyeNormSignal	Cy3	The standard error associated with the dye normalized signal.
gDyeNormSignal	float	linear_scale	SpecializedQuantitationType			Cy3	The dye normalized signal in the indicated channel.
gHighEndCorrDNError	float	linear_scale	Error		gHighEndCorrDNSig	Cy3	
gHighEndCorrDNSig	float	linear_scale	SpecializedQuantitationType			Cy3	
gIsBGNonUnifOL	boolean	linear_scale	SpecializedQuantitationType			Cy3	Boolean flag indicating if a background is a NonUniformity Outlier or not. A feature is non-uniform if the pixel noise of feature exceeds a threshold established for a "uniform" feature. A 1 indicates Feature is a non-uniformity outlier.
gIsBGPopnOL	boolean	linear_scale	SpecializedQuantitationType			Cy3	Boolean flag indicating if a background is a Population Outlier or not. Probes with replicate features on a microarray are examined using population statistics. A feature is a population outlier if its signal is less than a lower threshold or exceeds an u
gIsFeatNonUnifOL	boolean	linear_scale	SpecializedQuantitationType			Cy3	Boolean flag indicating if a feature is a NonUniformity Outlier or not. A feature is non-uniform if the pixel noise of feature exceeds a threshold established for a "uniform" feature. A 1 indicates Feature is a non-uniformity outlier.
gIsFeatPopnOL	boolean	linear_scale	SpecializedQuantitationType			Cy3	Boolean flag indicating if a feature is a Population Outlier or not. Probes with replicate features on a microarray are examined using population statistics. A feature is a population outlier if its signal is less than a lower threshold or exceeds an uppe
gIsFound	boolean	linear_scale	SpecializedQuantitationType			Cy3	A boolean used to flag found (strong) features. The flag is applied independently in each channel. A feature is considered found if the found spot centroid is within the bounds of the spot deviation limit with respect to corresponding nominal centroid. NO
gIsInNegCtrlRange	boolean	linear_scale	SpecializedQuantitationType			Cy3	Boolean that identifies this spot as being in the range of background.
gIsPosAndSignif	boolean	linear_scale	SpecializedQuantitationType			Cy3	Boolean flag indicating if the mean signal of a feature is greater than the corresponding background and if this difference is significant. Significance is established via a 2-sided t-test against the user-settable maximum p-value. A 1 indicates Feature i
gIsSaturated	boolean	linear_scale	SpecializedQuantitationType			Cy3	Boolean flag indicating if a feature is saturated or not. A feature is saturated if 50% of the pixels in a feature are above the saturation threshold. A value of 1 means saturated.
gIsWellAboveBG	boolean	linear_scale	SpecializedQuantitationType			Cy3	Boolean flag indicating if a feature is well above background or not. A feature must be gIsPosAndSignif and additionally the gBGSubSignal must be greater than 2.6*g(r)BG_SD. A 1 indicates a feature IsWellAboveBG.
gMeanSignal	float	linear_scale	MeasuredSignal			Cy3	Raw mean signal of feature in green channel.
gMeasuredSignal	float	linear_scale	MeasuredSignal			Cy3	Raw mean signal of feature in green channel.
gMedianSignal	float	linear_scale	SpecializedQuantitationType			Cy3	Raw median signal of feature in green channel.
gNetSignal	float	linear_scale	SpecializedQuantitationType			Cy3	The meanSignal - the scanner offset.
gNumBGUsed	integer	linear_scale	SpecializedQuantitationType	1		Cy3	A count of the number of background pixels used in the green channel.
gNumPix	integer	linear_scale	SpecializedQuantitationType			Cy3	Total number of pixels used to compute feature statistics; ie. total number of inlier pixels/per spot, computed independently in each channel. The number of inlier pixels are the same in both channels.
gNumPixOLHi	integer	linear_scale	SpecializedQuantitationType			Cy3	Number of outlier pixels per feature with intensity > upper threshold set via the pixel outlier rejection method. The number is computed independently in each channel. These pixels are omitted from all subsequent calculations.
gNumPixOLLo	integer	linear_scale	SpecializedQuantitationType			Cy3	Number of outlier pixels per feature with intensity &lt; lower threshold set via the pixel outlier rejection method. The number is computed independently in each channel. NOTE: The pixel outlier method is the ONLY step that removes data in Feature Extract
gNumSatPix	integer	linear_scale	SpecializedQuantitationType			Cy3	Total number of saturated pixels per feature, computed per channel.
gPValFeatEqBG	float	linear_scale	SpecializedQuantitationType			Cy3	P-value from t-test of significance between green Mean signal and green background.
gPixSDev	float	linear_scale	Error		gMeanSignal	Cy3	Standard deviation of all inlier pixels per feature; this is computed independently in each channel.
gProcessedSigError	float	linear_scale	Error		gProcessedSignal	Cy3	Standard error of propagated feature signal, per channel.
gProcessedSignal	float	linear_scale	DerivedSignal			Cy3	The propagated feature signal, per channel, used for computation of log ratio.
gSpatialDetrendIsInFilteredSet	boolean	linear_scale	SpecializedQuantitationType			Cy3	Set to true for a given feature if it is part of the filtered set used to fit the surface measuring the spatial trend across the microarray. This feature is considered part of the locally weighted x% of the features.
gSpatialDetrendSurfaceValue	float	linear_scale	SpecializedQuantitationType			Cy3	Value of the smoothed surface derived from the set of features that are part of SpatialDetrendIsInFilteredSet.
gSurrogateUsed	float	linear_scale	SpecializedQuantitationType			Cy3	The green surrogate value used.
rBGMeanSignal	float	linear_scale	MeasuredSignal	1		Cy5	Mean local background signal (local to corresponding feature) computed per channel.
rBGMedianSignal	float	linear_scale	SpecializedQuantitationType	1		Cy5	Median local background signal (local to corresponding feature) computed per channel.
rBGNumPix	integer	linear_scale	SpecializedQuantitationType	1		Cy5	Total number of pixels used to compute Local BG statistics per spot; ie. Total number of BG inlier pixels. This number is computed independently in each channel.
rBGPixSDev	float	linear_scale	Error	1	rBGMeanSignal	Cy5	Standard deviation of all inlier pixels per Local BG of each feature, computed independently in each channel.
rBGSDUsed	float	linear_scale	Error	1	rBGUsed	Cy5	Standard deviation of background used in red channel.
rBGSubSigError	float	linear_scale	Error		rBGSubSignal	Cy5	Propagated standard error as computed on net red background subtracted signal.
rBGSubSignal	float	linear_scale	SpecializedQuantitationType			Cy5	The net red signal following the subtraction of the background from the raw mean red signal.
rBGUsed	float	linear_scale	SpecializedQuantitationType	1		Cy5	Background value subtracted from the raw mean signal to generate the BG subtracted signal; this value is computed per channel. If global BG subtraction is used the column is identical for every feature in a given channel.
rBackground	float	linear_scale	MeasuredSignal	1		Cy5	Mean local background signal (local to corresponding feature) computed per channel.
rDerivedSignal	float	linear_scale	DerivedSignal			Cy5	The propagated feature signal, per channel, used for computation of log ratio.
rDyeNormError	float	linear_scale	Error		rDyeNormSignal	Cy5	The standard error associated with the dye normalized signal.
rDyeNormSignal	float	linear_scale	SpecializedQuantitationType			Cy5	The dye normalized signal in the indicated channel.
rHighEndCorrDNError	float	linear_scale	Error		rHighEndCorrDNSig	Cy5	
rHighEndCorrDNSig	float	linear_scale	SpecializedQuantitationType			Cy5	
rIsBGNonUnifOL	boolean	linear_scale	SpecializedQuantitationType			Cy5	Boolean flag indicating if a background is a NonUniformity Outlier or not. A feature is non-uniform if the pixel noise of feature exceeds a threshold established for a "uniform" feature. A 1 indicates Feature is a non-uniformity outlier.
rIsBGPopnOL	boolean	linear_scale	SpecializedQuantitationType			Cy5	Boolean flag indicating if a background is a Population Outlier or not. Probes with replicate features on a microarray are examined using population statistics. A feature is a population outlier if its signal is less than a lower threshold or exceeds an u
rIsFeatNonUnifOL	boolean	linear_scale	SpecializedQuantitationType			Cy5	Boolean flag indicating if a feature is a NonUniformity Outlier or not. A feature is non-uniform if the pixel noise of feature exceeds a threshold established for a "uniform" feature. A 1 indicates Feature is a non-uniformity outlier.
rIsFeatPopnOL	boolean	linear_scale	SpecializedQuantitationType			Cy5	Boolean flag indicating if a feature is a Population Outlier or not. Probes with replicate features on a microarray are examined using population statistics. A feature is a population outlier if its signal is less than a lower threshold or exceeds an uppe
rIsFound	boolean	linear_scale	SpecializedQuantitationType			Cy5	A boolean used to flag found (strong) features. The flag is applied independently in each channel. A feature is considered found if the found spot centroid is within the bounds of the spot deviation limit with respect to corresponding nominal centroid. NO
rIsInNegCtrlRange	boolean	linear_scale	SpecializedQuantitationType			Cy5	Boolean that identifies this spot as being in the range of background.
rIsPosAndSignif	boolean	linear_scale	SpecializedQuantitationType			Cy5	Boolean flag indicating if the mean signal of a feature is greater than the corresponding background and if this difference is significant. Significance is established via a 2-sided t-test against the user-settable maximum p-value. A 1 indicates Feature i
rIsSaturated	boolean	linear_scale	SpecializedQuantitationType			Cy5	Boolean flag indicating if a feature is saturated or not. A feature is saturated if 50% of the pixels in a feature are above the saturation threshold. A value of 1 means saturated.
rIsWellAboveBG	boolean	linear_scale	SpecializedQuantitationType			Cy5	Boolean flag indicating if a feature is well above background or not. A feature must be gIsPosAndSignif and additionally the gBGSubSignal must be greater than 2.6*g(r)BG_SD. A 1 indicates a feature IsWellAboveBG.
rMeanSignal	float	linear_scale	MeasuredSignal			Cy5	Raw mean signal of feature in red channel.
rMeasuredSignal	float	linear_scale	MeasuredSignal			Cy5	Raw mean signal of feature in red channel.
rMedianSignal	float	linear_scale	SpecializedQuantitationType			Cy5	Raw median signal of feature in red channel.
rNetSignal	float	linear_scale	SpecializedQuantitationType			Cy5	The meanSignal - the scanner offset.
rNumBGUsed	integer	linear_scale	SpecializedQuantitationType	1		Cy5	A count of the number of background pixels used in the red channel.
rNumPix	integer	linear_scale	SpecializedQuantitationType			Cy5	Total number of pixels used to compute feature statistics; ie. total number of inlier pixels/per spot, computed independently in each channel. The number of inlier pixels are the same in both channels.
rNumPixOLHi	integer	linear_scale	SpecializedQuantitationType			Cy5	Number of outlier pixels per feature with intensity > upper threshold set via the pixel outlier rejection method. The number is computed independently in each channel. These pixels are omitted from all subsequent calculations.
rNumPixOLLo	integer	linear_scale	SpecializedQuantitationType			Cy5	Number of outlier pixels per feature with intensity &lt; lower threshold set via the pixel outlier rejection method. The number is computed independently in each channel. NOTE: The pixel outlier method is the ONLY step that removes data in Feature Extract
rNumSatPix	integer	linear_scale	SpecializedQuantitationType			Cy5	Total number of saturated pixels per feature, computed per channel.
rPValFeatEqBG	float	linear_scale	SpecializedQuantitationType			Cy5	P-value from t-test of significance between red Mean signal and red background.
rPixSDev	float	linear_scale	Error		rMeanSignal	Cy5	Standard deviation of all inlier pixels per feature; this is computed independently in each channel.
rProcessedSigError	float	linear_scale	Error		rProcessedSignal	Cy5	Standard error of propagated feature signal, per channel.
rProcessedSignal	float	linear_scale	DerivedSignal			Cy5	The propagated feature signal, per channel, used for computation of log ratio.
rSpatialDetrendIsInFilteredSet	boolean	linear_scale	SpecializedQuantitationType			Cy5	Set to true for a given feature if it is part of the filtered set used to fit the surface measuring the spatial trend across the microarray. This feature is considered part of the locally weighted x% of the features.
rSpatialDetrendSurfaceValue	float	linear_scale	SpecializedQuantitationType			Cy5	Value of the smoothed surface derived from the set of features that are part of SpatialDetrendIsInFilteredSet.
rSurrogateUsed	float	linear_scale	SpecializedQuantitationType			Cy5	The red surrogate value used.
xDev	float	log_base_10	SpecializedQuantitationType				Used to compute the Log Ratio PValue.
>>>GEMTools[Incyte Genomics]							
BalancedDiffExpr	float	linear_scale	SpecializedQuantitationType				Balanced fold change.
CloneID	string_datatype	unscaled	SpecializedQuantitationType				Incyte identifier for individual clone spotted on the array.
CloneSource	string_datatype	unscaled	SpecializedQuantitationType				All arrayed elements were either clones derived from Incyte cDNA libraries, or sequences generated specifically to be used as hybridization and/or signal balancing controls.
DiffExpr	float	linear_scale	SpecializedQuantitationType				Unbalanced fold change.
GEMID	string_datatype	unscaled	SpecializedQuantitationType				Unique identifier.
GeneID	string_datatype	unscaled	SpecializedQuantitationType				Incyte unique identifier for a sequence contig.
GeneName	string_datatype	unscaled	SpecializedQuantitationType				Genbank annotation of Incyte sequence contig.
IncyteCloneID	string_datatype	unscaled	SpecializedQuantitationType				Incyte identifier for individual clone spotted on the array.
Location	integer	linear_scale	SpecializedQuantitationType				An Incyte code that can be used to determine the location of the spot on the array.
P1Area%	integer	linear_scale	SpecializedQuantitationType			Cy5	Area of spot coverage.
P1Description	string_datatype	unscaled	SpecializedQuantitationType			Cy5	Identifier or code name for Cy5 labeled probe.
P1S/B	float	linear_scale	SpecializedQuantitationType	1		Cy5	Element signal to background in the Cy5 channel.
P1Signal	integer	linear_scale	MeasuredSignal			Cy5	Signal intensity in the Cy5 channel.
P2Area%	integer	linear_scale	SpecializedQuantitationType			Cy3	Area of spot coverage.
P2BalancedSignal	integer	linear_scale	SpecializedQuantitationType				Balanced Cy3 signal (balanced by total average signal intensity in both channels).
P2Description	string_datatype	unscaled	SpecializedQuantitationType			Cy3	Identifier or code name for Cy3 labeled probe.
P2S/B	float	linear_scale	SpecializedQuantitationType	1		Cy3	Element signal to background in the Cy3 channel.
P2Signal	integer	linear_scale	MeasuredSignal			Cy3	Signal intensity in the Cy3 channel.
PCRStatus	string_datatype	unscaled	SpecializedQuantitationType				An indicator of the quality of the spotted cDNA.
Probe1	string_datatype	unscaled	SpecializedQuantitationType			Cy5	Unique identifier for Cy5 labeled probe.
Probe2	string_datatype	unscaled	SpecializedQuantitationType			Cy3	Unique identifier for Cy3 labeled probe.
>>>GLEAMS[NuTec Sciences]							
BG.Cy3	float	linear_scale	MeasuredSignal	1		Cy3	Median pixel intensity computed over the local background region for Cy3.
BG.Cy5	float	linear_scale	MeasuredSignal	1		Cy5	Median pixel intensity computed over the local background region for Cy5.
Mean.Sig.Cy3	float	linear_scale	SpecializedQuantitationType			Cy3	Pixel intensity averaged over the local signal region for Cy3.
Mean.Sig.Cy5	float	linear_scale	SpecializedQuantitationType			Cy5	Pixel intensity averaged over the local signal region for Cy5.
Med.Sig.Cy3	integer	linear_scale	MeasuredSignal			Cy3	Median pixel intensity computed over the local signal region for Cy3.
Med.Sig.Cy5	integer	linear_scale	MeasuredSignal			Cy5	Median pixel intensity computed over the local signal region for Cy5.
SD.Cy3	float	linear_scale	Error		Mean.Sig.Cy3	Cy3	Standard deviation of pixel intensities over the local signal region for Cy3.
SD.Cy5	float	linear_scale	Error		Mean.Sig.Cy5	Cy5	Standard deviation of pixel intensities over the local signal region for Cy5.
Sig.Area	integer	linear_scale	SpecializedQuantitationType				Number of pixels in the local signal region.
X	integer	linear_scale	SpecializedQuantitationType				Location of the center of the spot on the array on the X-axis.
Y	integer	linear_scale	SpecializedQuantitationType				Location of the center of the spot on the array on the Y-axis.
>>>GenePix[Axon Instruments]							
% > B595+1SD	integer	linear_scale	SpecializedQuantitationType			Cy3	The percentage of feature pixels with intensities more than one standard deviation above the background pixel intensity, at wavelength 595 nm.
% > B595+2SD	integer	linear_scale	SpecializedQuantitationType			Cy3	The percentage of feature pixels with intensities more than two standard deviations above the background pixel intensity, at wavelength 595 nm.
% > B685+1SD	integer	linear_scale	SpecializedQuantitationType			Cy5	The percentage of feature pixels with intensities more than one standard deviation above the background pixel intensity, at wavelength 685 nm.
% > B685+2SD	integer	linear_scale	SpecializedQuantitationType			Cy5	The percentage of feature pixels with intensities more than two standard deviations above the background pixel intensity, at wavelength 685 nm.
B595	integer	linear_scale	SpecializedQuantitationType	1		Cy3	The actual background value used for the feature in GenePix Pro calculations (as opposed to B595 Median, for example, which is the local median background.) This column is required because GenePix Pro 5.0 has global and negative control background subtrac
B595 CV	integer	linear_scale	SpecializedQuantitationType	1		Cy3	The coefficient of variation of local background pixel intensity.
B595 Mean	integer	linear_scale	MeasuredSignal	1		Cy3	The mean feature background intensity at wavelength 595 nm.
B595 Median	integer	linear_scale	SpecializedQuantitationType	1		Cy3	The median feature background intensity at wavelength 595 nm.
B595 SD	integer	linear_scale	Error	1	B595 Median	Cy3	The standard deviation of the feature background intensity at wavelength 595 nm.
B685	integer	linear_scale	SpecializedQuantitationType	1		Cy5	The actual background value used for the feature in GenePix Pro calculations (as opposed to B685 Median, for example, which is the local median background.) This column is required because GenePix Pro 5.0 has global and negative control background subtrac
B685 CV	integer	linear_scale	SpecializedQuantitationType	1		Cy5	The coefficient of variation of local background pixel intensity.
B685 Mean	integer	linear_scale	MeasuredSignal	1		Cy5	The mean feature background intensity at wavelength 685 nm.
B685 Median	integer	linear_scale	SpecializedQuantitationType	1		Cy5	The median feature background intensity at wavelength 685 nm.
B685 SD	integer	linear_scale	Error	1	B685 Median	Cy5	The standard deviation of the feature background intensity at wavelength 685 nm.
F595 % Sat.	integer	linear_scale	SpecializedQuantitationType			Cy3	The percentage of feature pixels at wavelength 595 nm that are saturated.
